Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
AEVA,Aeva Technologies,Motor vehicle parts & accessories,Auto/Tires/Trucks,AUTO/TRUCK-ORIG,AUTOS/TIRES/TRUCKS,Y,UNITED STATES
AEXA,American Exceptionalism Acquisition Corp.,,Unclassified,UNCLASSIFIED,UNCLASSIFIED,Y,
AEXAF,ATOS ORIGIN,Private households,Business Services,Technology Services,BUSINESS SERVICES,N,FRANCE
AEYE,Audioeye,Prepackaged software,Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,Y,UNITED STATES
AEYGQ,ADDvantage Technologies Group,Wholesale trade - durable goods,Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,N,UNITED STATES
AFBG,AMER FIBER GREN,,,,,,
AFBI,Affinity Bancshares,"Savings institutions, except federal",Finance,BANKS-SOUTHEAST,BANKS & THRIFTS,N,UNITED STATES
AFCG,AFC Gamma,Real estate,Finance,REIT-MTGE TRUST,REAL ESTATE,Y,UNITED STATES
AFFN,Affinity Networks,"Communications equipment, not elsewhere classified",Computer and Technology,INTERNET SOFTWARE,COMPUTER SOFT/SERV,N,
AFFY,Affymax,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES
AFG,American Financial Group,"Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,Y,UNITED STATES
AFGI,"Ambassador Financial Group, Inc.",,,,,,
AFHIF,Atlas Financial Holdings,"Fire, marine, & casualty insurance",Finance,INS-PROP&CASLTY,INSURANCE,N,UNITED STATES
AFIB,Acutus Medical,Surgical & medical instruments,Medical,MED-DRUGS,DRUGS,N,UNITED STATES
AFIIQ,Armstrong Flooring,"Plastics products, not elsewhere classified",Construction,BLDG PRD-WOOD,BUILDING PRODS,N,UNITED STATES
AFJK,"Aimei Health Technology Co., Ltd.",Holding & other investment offices,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES
